company_id,year,horizon_years,pat_cagr_value,pat_cagr_flag
AMBUJACEM,Dec 2017,5,8.53,NORMAL
AMBUJACEM,Dec 2018,3,54.38,NORMAL
AMBUJACEM,Dec 2018,5,18.39,NORMAL
AMBUJACEM,Dec 2019,3,24.73,NORMAL
AMBUJACEM,Dec 2019,5,13.35,NORMAL
AMBUJACEM,Dec 2020,3,16.9,NORMAL
AMBUJACEM,Dec 2020,5,30.91,NORMAL
AMBUJACEM,Dec 2021,3,7.67,NORMAL
AMBUJACEM,Dec 2021,5,20.95,NORMAL
AMBUJACEM,Mar 2023 15,3,-0.9,DECLINE
AMBUJACEM,Mar 2023 15,5,0.34,NORMAL
AMBUJACEM,Mar 2023 15,10,8.99,NORMAL
AMBUJACEM,Mar 2024,3,8.48,NORMAL
AMBUJACEM,Mar 2024,5,11.23,NORMAL
AMBUJACEM,Mar 2024,10,12.29,NORMAL
APOLLOHOSP,Mar 2016,3,-8.12,DECLINE
APOLLOHOSP,Mar 2017,3,-25.36,DECLINE
APOLLOHOSP,Mar 2018,3,-43.63,DECLINE
APOLLOHOSP,Mar 2018,5,-27.67,DECLINE
APOLLOHOSP,Mar 2019,3,-5.23,DECLINE
APOLLOHOSP,Mar 2019,5,-8.68,DECLINE
APOLLOHOSP,Mar 2020,3,48.85,NORMAL
APOLLOHOSP,Mar 2020,5,5.22,NORMAL
APOLLOHOSP,Mar 2021,3,31.68,NORMAL
APOLLOHOSP,Mar 2021,5,-10.23,DECLINE
APOLLOHOSP,Mar 2022,3,76.94,NORMAL
APOLLOHOSP,Mar 2022,5,53.27,NORMAL
APOLLOHOSP,Mar 2023,3,25.01,NORMAL
APOLLOHOSP,Mar 2023,5,69.68,NORMAL
APOLLOHOSP,Mar 2023,10,10.79,NORMAL
APOLLOHOSP,Mar 2024,3,89.68,NORMAL
APOLLOHOSP,Mar 2024,5,36.13,NORMAL
APOLLOHOSP,Mar 2024,10,11.49,NORMAL
ASIANPAINT,Mar 2016,3,15.84,NORMAL
ASIANPAINT,Mar 2017,3,16.87,NORMAL
ASIANPAINT,Mar 2018,3,13.71,NORMAL
ASIANPAINT,Mar 2018,5,12.58,NORMAL
ASIANPAINT,Mar 2019,3,6.99,NORMAL
ASIANPAINT,Mar 2019,5,11.82,NORMAL
ASIANPAINT,Mar 2020,3,11.23,NORMAL
ASIANPAINT,Mar 2020,5,14.22,NORMAL
ASIANPAINT,Mar 2021,3,15.19,NORMAL
ASIANPAINT,Mar 2021,5,12.21,NORMAL
ASIANPAINT,Mar 2022,3,11.79,NORMAL
ASIANPAINT,Mar 2022,5,8.88,NORMAL
ASIANPAINT,Mar 2023,3,14.78,NORMAL
ASIANPAINT,Mar 2023,5,14.86,NORMAL
ASIANPAINT,Mar 2023,10,13.72,NORMAL
ASIANPAINT,Mar 2024,3,20.12,NORMAL
ASIANPAINT,Mar 2024,5,20.28,NORMAL
ASIANPAINT,Mar 2024,10,15.97,NORMAL
ATGL,Mar 2021,3,41.91,NORMAL
ATGL,Mar 2022,3,30.51,NORMAL
ATGL,Mar 2023,3,7.79,NORMAL
ATGL,Mar 2023,5,27.51,NORMAL
ATGL,Mar 2024,3,13.0,NORMAL
ATGL,Mar 2024,5,23.88,NORMAL
AXISBANK,Mar 2016,3,16.67,NORMAL
AXISBANK,Mar 2017,3,-16.05,DECLINE
AXISBANK,Mar 2018,3,-66.53,DECLINE
AXISBANK,Mar 2018,5,-44.37,DECLINE
AXISBANK,Mar 2019,3,-17.15,DECLINE
AXISBANK,Mar 2019,5,-5.54,DECLINE
AXISBANK,Mar 2020,3,-23.81,DECLINE
AXISBANK,Mar 2020,5,-26.05,DECLINE
AXISBANK,Mar 2021,3,187.93,NORMAL
AXISBANK,Mar 2021,5,-4.34,DECLINE
AXISBANK,Mar 2022,3,40.69,NORMAL
AXISBANK,Mar 2022,5,28.77,NORMAL
AXISBANK,Mar 2023,3,80.58,NORMAL
AXISBANK,Mar 2023,5,103.28,NORMAL
AXISBANK,Mar 2023,10,6.34,NORMAL
AXISBANK,Mar 2024,3,55.69,NORMAL
AXISBANK,Mar 2024,5,39.67,NORMAL
AXISBANK,Mar 2024,10,14.86,NORMAL
BAJAJ-AUTO,Mar 2016,3,9.03,NORMAL
BAJAJ-AUTO,Mar 2017,3,6.47,NORMAL
BAJAJ-AUTO,Mar 2018,3,11.72,NORMAL
BAJAJ-AUTO,Mar 2018,5,6.13,NORMAL
BAJAJ-AUTO,Mar 2019,3,6.66,NORMAL
BAJAJ-AUTO,Mar 2019,5,7.83,NORMAL
BAJAJ-AUTO,Mar 2020,3,8.51,NORMAL
BAJAJ-AUTO,Mar 2020,5,11.49,NORMAL
BAJAJ-AUTO,Mar 2021,3,4.81,NORMAL
BAJAJ-AUTO,Mar 2021,5,3.64,NORMAL
BAJAJ-AUTO,Mar 2022,3,7.76,NORMAL
BAJAJ-AUTO,Mar 2022,5,8.62,NORMAL
BAJAJ-AUTO,Mar 2023,3,5.15,NORMAL
BAJAJ-AUTO,Mar 2023,5,7.51,NORMAL
BAJAJ-AUTO,Mar 2023,10,6.82,NORMAL
BAJAJ-AUTO,Mar 2024,3,16.64,NORMAL
BAJAJ-AUTO,Mar 2024,5,9.36,NORMAL
BAJAJ-AUTO,Mar 2024,10,8.59,NORMAL
BAJAJFINSV,Mar 2016,3,7.82,NORMAL
BAJAJFINSV,Mar 2017,3,16.34,NORMAL
BAJAJFINSV,Mar 2018,3,20.13,NORMAL
BAJAJFINSV,Mar 2018,5,13.53,NORMAL
BAJAJFINSV,Mar 2019,3,24.65,NORMAL
BAJAJFINSV,Mar 2019,5,19.66,NORMAL
BAJAJFINSV,Mar 2020,3,20.22,NORMAL
BAJAJFINSV,Mar 2020,5,20.0,NORMAL
BAJAJFINSV,Mar 2021,3,20.83,NORMAL
BAJAJFINSV,Mar 2021,5,21.56,NORMAL
BAJAJFINSV,Mar 2022,3,15.66,NORMAL
BAJAJFINSV,Mar 2022,5,19.23,NORMAL
BAJAJFINSV,Mar 2023,3,26.77,NORMAL
BAJAJFINSV,Mar 2023,5,23.93,NORMAL
BAJAJFINSV,Mar 2023,10,18.62,NORMAL
BAJAJFINSV,Mar 2024,3,28.4,NORMAL
BAJAJFINSV,Mar 2024,5,23.75,NORMAL
BAJAJFINSV,Mar 2024,10,21.68,NORMAL
BAJAJHLDNG,Mar 2016,3,6.86,NORMAL
BAJAJHLDNG,Mar 2017,3,7.55,NORMAL
BAJAJHLDNG,Mar 2018,3,9.38,NORMAL
BAJAJHLDNG,Mar 2018,5,7.42,NORMAL
BAJAJHLDNG,Mar 2019,3,10.4,NORMAL
BAJAJHLDNG,Mar 2019,5,8.92,NORMAL
BAJAJHLDNG,Mar 2020,3,7.59,NORMAL
BAJAJHLDNG,Mar 2020,5,8.71,NORMAL
BAJAJHLDNG,Mar 2021,3,11.23,NORMAL
BAJAJHLDNG,Mar 2021,5,10.04,NORMAL
BAJAJHLDNG,Mar 2022,3,10.62,NORMAL
BAJAJHLDNG,Mar 2022,5,10.78,NORMAL
BAJAJHLDNG,Mar 2023,3,17.1,NORMAL
BAJAJHLDNG,Mar 2023,5,13.25,NORMAL
BAJAJHLDNG,Mar 2023,10,10.3,NORMAL
BAJAJHLDNG,Mar 2024,3,26.32,NORMAL
BAJAJHLDNG,Mar 2024,5,19.3,NORMAL
BAJAJHLDNG,Mar 2024,10,13.99,NORMAL
BAJFINANCE,Mar 2018,3,40.6,NORMAL
BAJFINANCE,Mar 2019,3,46.18,NORMAL
BAJFINANCE,Mar 2020,3,42.06,NORMAL
BAJFINANCE,Mar 2020,5,42.43,NORMAL
BAJFINANCE,Mar 2021,3,20.98,NORMAL
BAJFINANCE,Mar 2021,5,28.15,NORMAL
BAJFINANCE,Mar 2022,3,20.72,NORMAL
BAJFINANCE,Mar 2022,5,30.8,NORMAL
BAJFINANCE,Mar 2023,3,29.79,NORMAL
BAJFINANCE,Mar 2023,5,35.75,NORMAL
BAJFINANCE,Mar 2024,3,48.42,NORMAL
BAJFINANCE,Mar 2024,5,29.32,NORMAL
BANKBARODA,Mar 2016,3,,DECLINE_TO_LOSS
BANKBARODA,Mar 2017,3,-28.32,DECLINE
BANKBARODA,Mar 2018,3,,DECLINE_TO_LOSS
BANKBARODA,Mar 2018,5,,DECLINE_TO_LOSS
BANKBARODA,Mar 2019,3,,TURNAROUND
BANKBARODA,Mar 2019,5,-25.37,DECLINE
BANKBARODA,Mar 2020,3,-19.13,DECLINE
BANKBARODA,Mar 2020,5,-24.31,DECLINE
BANKBARODA,Mar 2021,3,,TURNAROUND
BANKBARODA,Mar 2021,5,,TURNAROUND
BANKBARODA,Mar 2022,3,89.49,NORMAL
BANKBARODA,Mar 2022,5,33.73,NORMAL
BANKBARODA,Mar 2023,3,148.23,NORMAL
BANKBARODA,Mar 2023,5,,TURNAROUND
BANKBARODA,Mar 2023,10,12.01,NORMAL
BANKBARODA,Mar 2024,3,126.68,NORMAL
BANKBARODA,Mar 2024,5,74.51,NORMAL
BANKBARODA,Mar 2024,10,14.12,NORMAL
BEL,Mar 2016,3,13.64,NORMAL
BEL,Mar 2017,3,16.96,NORMAL
BEL,Mar 2018,3,6.13,NORMAL
BEL,Mar 2018,5,9.45,NORMAL
BEL,Mar 2019,3,12.17,NORMAL
BEL,Mar 2019,5,14.66,NORMAL
BEL,Mar 2020,3,6.22,NORMAL
BEL,Mar 2020,5,8.8,NORMAL
BEL,Mar 2021,3,13.64,NORMAL
BEL,Mar 2021,5,9.45,NORMAL
BEL,Mar 2022,3,8.35,NORMAL
BEL,Mar 2022,5,9.52,NORMAL
BEL,Mar 2023,3,17.84,NORMAL
BEL,Mar 2023,5,15.85,NORMAL
BEL,Mar 2023,10,12.6,NORMAL
BEL,Mar 2024,3,23.8,NORMAL
BEL,Mar 2024,5,16.13,NORMAL
BEL,Mar 2024,10,15.39,NORMAL
BHARTIARTL,Mar 2016,3,44.87,NORMAL
BHARTIARTL,Mar 2017,3,12.0,NORMAL
BHARTIARTL,Mar 2018,3,-24.37,DECLINE
BHARTIARTL,Mar 2018,5,-0.74,DECLINE
BHARTIARTL,Mar 2019,3,-37.44,DECLINE
BHARTIARTL,Mar 2019,5,-10.98,DECLINE
BHARTIARTL,Mar 2020,3,,DECLINE_TO_LOSS
BHARTIARTL,Mar 2020,5,,DECLINE_TO_LOSS
BHARTIARTL,Mar 2021,3,,DECLINE_TO_LOSS
BHARTIARTL,Mar 2021,5,,DECLINE_TO_LOSS
BHARTIARTL,Mar 2022,3,70.08,NORMAL
BHARTIARTL,Mar 2022,5,14.39,NORMAL
BHARTIARTL,Mar 2023,3,,TURNAROUND
BHARTIARTL,Mar 2023,5,41.27,NORMAL
BHARTIARTL,Mar 2023,10,18.41,NORMAL
BHARTIARTL,Mar 2024,3,,TURNAROUND
BHARTIARTL,Mar 2024,5,38.36,NORMAL
BHARTIARTL,Mar 2024,10,10.98,NORMAL
BHEL,Mar 2016,3,,DECLINE_TO_LOSS
BHEL,Mar 2017,3,-49.35,DECLINE
BHEL,Mar 2018,3,-32.9,DECLINE
BHEL,Mar 2018,5,-42.03,DECLINE
BHEL,Mar 2019,3,,TURNAROUND
BHEL,Mar 2019,5,-22.14,DECLINE
BHEL,Mar 2020,3,,DECLINE_TO_LOSS
BHEL,Mar 2020,5,,DECLINE_TO_LOSS
BHEL,Mar 2021,3,,DECLINE_TO_LOSS
BHEL,Mar 2021,5,,BOTH_NEGATIVE
BHEL,Mar 2022,3,-23.7,DECLINE
BHEL,Mar 2022,5,-0.44,DECLINE
BHEL,Mar 2023,3,,TURNAROUND
BHEL,Mar 2023,5,8.35,NORMAL
BHEL,Mar 2023,10,-20.75,DECLINE
BHEL,Mar 2024,3,,TURNAROUND
BHEL,Mar 2024,5,-22.4,DECLINE
BHEL,Mar 2024,10,-22.27,DECLINE
BOSCHLTD,Mar 2015,3,11.78,NORMAL
BOSCHLTD,Mar 2016,3,20.04,NORMAL
BOSCHLTD,Mar 2017,5,12.69,NORMAL
BOSCHLTD,Mar 2018,3,0.82,NORMAL
BOSCHLTD,Mar 2018,5,9.15,NORMAL
BOSCHLTD,Mar 2019,3,1.44,NORMAL
BOSCHLTD,Mar 2020,3,-27.99,DECLINE
BOSCHLTD,Mar 2020,5,-13.45,DECLINE
BOSCHLTD,Mar 2021,3,-29.42,DECLINE
BOSCHLTD,Mar 2021,5,-20.64,DECLINE
BOSCHLTD,Mar 2022,3,-8.68,DECLINE
BOSCHLTD,Mar 2022,5,-6.91,DECLINE
BOSCHLTD,Mar 2022,10,2.42,NORMAL
BOSCHLTD,Mar 2023,3,29.88,NORMAL
BOSCHLTD,Mar 2023,5,0.76,NORMAL
BOSCHLTD,Mar 2023,10,4.87,NORMAL
BOSCHLTD,Mar 2024,3,72.87,NORMAL
BOSCHLTD,Mar 2024,5,9.28,NORMAL
BPCL,Mar 2016,3,61.06,NORMAL
BPCL,Mar 2017,3,32.87,NORMAL
BPCL,Mar 2018,3,24.44,NORMAL
BPCL,Mar 2018,5,38.29,NORMAL
BPCL,Mar 2019,3,1.78,NORMAL
BPCL,Mar 2019,5,16.04,NORMAL
BPCL,Mar 2020,3,-27.21,DECLINE
BPCL,Mar 2020,5,-6.32,DECLINE
BPCL,Mar 2021,3,20.94,NORMAL
BPCL,Mar 2021,5,16.45,NORMAL
BPCL,Mar 2022,3,11.06,NORMAL
BPCL,Mar 2022,5,4.21,NORMAL
BPCL,Mar 2023,3,-16.54,DECLINE
BPCL,Mar 2023,5,-26.29,DECLINE
BPCL,Mar 2023,10,0.96,NORMAL
BPCL,Mar 2024,3,15.75,NORMAL
BPCL,Mar 2024,5,25.79,NORMAL
BPCL,Mar 2024,10,20.82,NORMAL
BRITANNIA,Mar 2016,3,46.95,NORMAL
BRITANNIA,Mar 2017,3,30.85,NORMAL
BRITANNIA,Mar 2018,3,13.37,NORMAL
BRITANNIA,Mar 2018,5,31.02,NORMAL
BRITANNIA,Mar 2019,3,11.87,NORMAL
BRITANNIA,Mar 2019,5,23.94,NORMAL
BRITANNIA,Mar 2020,3,16.35,NORMAL
BRITANNIA,Mar 2020,5,15.14,NORMAL
BRITANNIA,Mar 2021,3,22.62,NORMAL
BRITANNIA,Mar 2021,5,17.54,NORMAL
BRITANNIA,Mar 2022,3,9.49,NORMAL
BRITANNIA,Mar 2022,5,11.37,NORMAL
BRITANNIA,Mar 2023,3,18.44,NORMAL
BRITANNIA,Mar 2023,5,18.2,NORMAL
BRITANNIA,Mar 2023,10,24.44,NORMAL
BRITANNIA,Mar 2024,3,4.86,NORMAL
BRITANNIA,Mar 2024,5,13.06,NORMAL
BRITANNIA,Mar 2024,10,18.37,NORMAL
CANBK,Mar 2016,3,,DECLINE_TO_LOSS
CANBK,Mar 2017,3,-19.17,DECLINE
CANBK,Mar 2018,3,,DECLINE_TO_LOSS
CANBK,Mar 2018,5,,DECLINE_TO_LOSS
CANBK,Mar 2019,3,,TURNAROUND
CANBK,Mar 2019,5,-23.59,DECLINE
CANBK,Mar 2020,3,,DECLINE_TO_LOSS
CANBK,Mar 2020,5,,DECLINE_TO_LOSS
CANBK,Mar 2021,3,,TURNAROUND
CANBK,Mar 2021,5,,TURNAROUND
CANBK,Mar 2022,3,106.83,NORMAL
CANBK,Mar 2022,5,34.27,NORMAL
CANBK,Mar 2023,3,,TURNAROUND
CANBK,Mar 2023,5,,TURNAROUND
CANBK,Mar 2023,10,14.25,NORMAL
CANBK,Mar 2024,3,73.34,NORMAL
CANBK,Mar 2024,5,85.78,NORMAL
CANBK,Mar 2024,10,19.14,NORMAL
CHOLAFIN,Mar 2016,3,23.13,NORMAL
CHOLAFIN,Mar 2017,3,24.96,NORMAL
CHOLAFIN,Mar 2018,3,27.4,NORMAL
CHOLAFIN,Mar 2018,5,24.41,NORMAL
CHOLAFIN,Mar 2019,3,27.69,NORMAL
CHOLAFIN,Mar 2019,5,26.6,NORMAL
CHOLAFIN,Mar 2020,3,13.65,NORMAL
CHOLAFIN,Mar 2020,5,18.88,NORMAL
CHOLAFIN,Mar 2021,3,18.33,NORMAL
CHOLAFIN,Mar 2021,5,21.48,NORMAL
CHOLAFIN,Mar 2022,3,21.63,NORMAL
CHOLAFIN,Mar 2022,5,24.57,NORMAL
CHOLAFIN,Mar 2023,3,36.23,NORMAL
CHOLAFIN,Mar 2023,5,23.76,NORMAL
CHOLAFIN,Mar 2023,10,24.08,NORMAL
CHOLAFIN,Mar 2024,3,31.01,NORMAL
CHOLAFIN,Mar 2024,5,23.36,NORMAL
CHOLAFIN,Mar 2024,10,24.97,NORMAL
CIPLA,Mar 2016,3,-3.62,DECLINE
CIPLA,Mar 2017,3,-9.66,DECLINE
CIPLA,Mar 2018,3,4.86,NORMAL
CIPLA,Mar 2018,5,-1.71,DECLINE
CIPLA,Mar 2019,3,2.56,NORMAL
CIPLA,Mar 2019,5,1.22,NORMAL
CIPLA,Mar 2020,3,13.17,NORMAL
CIPLA,Mar 2020,5,4.07,NORMAL
CIPLA,Mar 2021,3,19.02,NORMAL
CIPLA,Mar 2021,5,11.55,NORMAL
CIPLA,Mar 2022,3,19.51,NORMAL
CIPLA,Mar 2022,5,19.73,NORMAL
CIPLA,Mar 2023,3,23.61,NORMAL
CIPLA,Mar 2023,5,14.86,NORMAL
CIPLA,Mar 2023,10,6.25,NORMAL
CIPLA,Mar 2024,3,20.25,NORMAL
CIPLA,Mar 2024,5,22.73,NORMAL
CIPLA,Mar 2024,10,11.46,NORMAL
COALINDIA,Mar 2016,3,-6.32,DECLINE
COALINDIA,Mar 2017,3,-15.0,DECLINE
COALINDIA,Mar 2018,3,-19.96,DECLINE
COALINDIA,Mar 2018,5,-16.52,DECLINE
COALINDIA,Mar 2019,3,6.97,NORMAL
COALINDIA,Mar 2019,5,2.94,NORMAL
COALINDIA,Mar 2020,3,21.63,NORMAL
COALINDIA,Mar 2020,5,4.0,NORMAL
COALINDIA,Mar 2021,3,21.75,NORMAL
COALINDIA,Mar 2021,5,-2.3,DECLINE
COALINDIA,Mar 2022,3,-0.16,DECLINE
COALINDIA,Mar 2022,5,13.37,NORMAL
COALINDIA,Mar 2023,3,23.85,NORMAL
COALINDIA,Mar 2023,5,35.14,NORMAL
COALINDIA,Mar 2023,10,6.22,NORMAL
COALINDIA,Mar 2024,3,43.29,NORMAL
COALINDIA,Mar 2024,5,16.43,NORMAL
COALINDIA,Mar 2024,10,9.48,NORMAL
DABUR,Mar 2016,3,17.86,NORMAL
DABUR,Mar 2017,3,11.8,NORMAL
DABUR,Mar 2018,3,8.34,NORMAL
DABUR,Mar 2018,5,12.13,NORMAL
DABUR,Mar 2019,3,4.86,NORMAL
DABUR,Mar 2019,5,9.56,NORMAL
DABUR,Mar 2020,3,4.2,NORMAL
DABUR,Mar 2020,5,6.28,NORMAL
DABUR,Mar 2021,3,7.67,NORMAL
DABUR,Mar 2021,5,6.21,NORMAL
DABUR,Mar 2022,3,6.4,NORMAL
DABUR,Mar 2022,5,6.36,NORMAL
DABUR,Mar 2023,3,5.51,NORMAL
DABUR,Mar 2023,5,4.61,NORMAL
DABUR,Mar 2023,10,8.3,NORMAL
DABUR,Mar 2024,3,2.23,NORMAL
DABUR,Mar 2024,5,4.6,NORMAL
DABUR,Mar 2024,10,7.05,NORMAL
DIVISLAB,Mar 2016,3,23.21,NORMAL
DIVISLAB,Mar 2017,3,11.1,NORMAL
DIVISLAB,Mar 2018,3,0.97,NORMAL
DIVISLAB,Mar 2018,5,7.82,NORMAL
DIVISLAB,Mar 2019,3,6.31,NORMAL
DIVISLAB,Mar 2019,5,11.85,NORMAL
DIVISLAB,Mar 2020,3,9.11,NORMAL
DIVISLAB,Mar 2020,5,10.08,NORMAL
DIVISLAB,Mar 2021,3,31.27,NORMAL
DIVISLAB,Mar 2021,5,12.0,NORMAL
DIVISLAB,Mar 2022,3,29.82,NORMAL
DIVISLAB,Mar 2022,5,22.8,NORMAL
DIVISLAB,Mar 2023,3,9.82,NORMAL
DIVISLAB,Mar 2023,5,15.77,NORMAL
DIVISLAB,Mar 2023,10,11.72,NORMAL
DIVISLAB,Mar 2024,3,-6.92,DECLINE
DIVISLAB,Mar 2024,5,3.41,NORMAL
DIVISLAB,Mar 2024,10,7.55,NORMAL
DLF,Mar 2016,3,-22.96,DECLINE
DLF,Mar 2017,3,6.27,NORMAL
DLF,Mar 2018,3,106.69,NORMAL
DLF,Mar 2018,5,46.34,NORMAL
DLF,Mar 2019,3,62.72,NORMAL
DLF,Mar 2019,5,17.37,NORMAL
DLF,Mar 2020,3,,DECLINE_TO_LOSS
DLF,Mar 2020,5,,DECLINE_TO_LOSS
DLF,Mar 2021,3,-37.69,DECLINE
DLF,Mar 2021,5,28.84,NORMAL
DLF,Mar 2022,3,4.51,NORMAL
DLF,Mar 2022,5,16.2,NORMAL
DLF,Mar 2023,3,,TURNAROUND
DLF,Mar 2023,5,-14.6,DECLINE
DLF,Mar 2023,10,11.8,NORMAL
DLF,Mar 2024,3,36.0,NORMAL
DLF,Mar 2024,5,15.7,NORMAL
DLF,Mar 2024,10,16.53,NORMAL
DMART,Mar 2016,3,50.43,NORMAL
DMART,Mar 2017,3,43.83,NORMAL
DMART,Mar 2018,3,56.07,NORMAL
DMART,Mar 2018,5,53.69,NORMAL
DMART,Mar 2019,3,41.26,NORMAL
DMART,Mar 2019,5,41.15,NORMAL
DMART,Mar 2020,3,39.52,NORMAL
DMART,Mar 2020,5,43.74,NORMAL
